Start,End,Open,High,Low,Close,Volume,Market
1/29/2013,1/30/2013,19.5254,19.5254,19.5254,19.5254,0,0
1/28/2013,1/29/2013,18.721,18.721,18.721,18.721,0,0
1/27/2013,1/28/2013,17.8182,17.8182,17.8182,17.8182,0,0
1/26/2013,1/27/2013,17.88,17.88,17.88,17.88,0,0
1/25/2013,1/26/2013,17.4,17.4,17.4,17.4,0,0
1/24/2013,1/25/2013,16.896,16.896,16.896,16.896,0,0
1/23/2013,1/24/2013,17.5,17.5,17.5,17.5,0,0
1/22/2013,1/23/2013,17.2614,17.2614,17.2614,17.2614,0,0
1/21/2013,1/22/2013,16.8,16.8,16.8,16.8,0,0
1/20/2013,1/21/2013,15.7,15.7,15.7,15.7,0,0
1/19/2013,1/20/2013,15.615,15.615,15.615,15.615,0,0
1/18/2013,1/19/2013,15.705,15.705,15.705,15.705,0,0
1/17/2013,1/18/2013,15.5,15.5,15.5,15.5,0,0
1/16/2013,1/17/2013,14.73,14.73,14.73,14.73,0,0
1/15/2013,1/16/2013,14.25,14.25,14.25,14.25,0,0
1/14/2013,1/15/2013,14.3,14.3,14.3,14.3,0,0
1/13/2013,1/14/2013,14.116,14.116,14.116,14.116,0,0
1/12/2013,1/13/2013,14.237,14.237,14.237,14.237,0,0
1/11/2013,1/12/2013,14.137,14.137,14.137,14.137,0,0
1/10/2013,1/11/2013,14.14,14.14,14.14,14.14,0,0
1/9/2013,1/10/2013,13.77,13.77,13.77,13.77,0,0
1/8/2013,1/9/2013,13.7428,13.7428,13.7428,13.7428,0,0
1/7/2013,1/8/2013,13.5876,13.5876,13.5876,13.5876,0,0
1/6/2013,1/7/2013,13.454,13.454,13.454,13.454,0,0
1/5/2013,1/6/2013,13.44,13.44,13.44,13.44,0,0
1/4/2013,1/5/2013,13.5,13.5,13.5,13.5,0,0
1/3/2013,1/4/2013,13.3979,13.3979,13.3979,13.3979,0,0
1/2/2013,1/3/2013,13.28,13.28,13.28,13.28,0,0
1/1/2013,1/2/2013,13.3041,13.3041,13.3041,13.3041,0,0
12/31/2012,1/1/2013,13.51,13.51,13.51,13.51,0,0
12/30/2012,12/31/2012,13.45,13.45,13.45,13.45,0,0
12/29/2012,12/30/2012,13.4,13.4,13.4,13.4,0,0
12/28/2012,12/29/2012,13.4212,13.4212,13.4212,13.4212,0,0
12/27/2012,12/28/2012,13.4217,13.4217,13.4217,13.4217,0,0
12/26/2012,12/27/2012,13.4679,13.4679,13.4679,13.4679,0,0
12/25/2012,12/26/2012,13.35,13.35,13.35,13.35,0,0
12/24/2012,12/25/2012,13.38,13.38,13.38,13.38,0,0
12/23/2012,12/24/2012,13.312,13.312,13.312,13.312,0,0
12/22/2012,12/23/2012,13.3714,13.3714,13.3714,13.3714,0,0
12/21/2012,12/22/2012,13.5,13.5,13.5,13.5,0,0
12/20/2012,12/21/2012,13.5246,13.5246,13.5246,13.5246,0,0
12/19/2012,12/20/2012,13.599,13.599,13.599,13.599,0,0
12/18/2012,12/19/2012,13.299,13.299,13.299,13.299,0,0
12/17/2012,12/18/2012,13.2501,13.2501,13.2501,13.2501,0,0
12/16/2012,12/17/2012,13.3,13.3,13.3,13.3,0,0
12/15/2012,12/16/2012,13.4901,13.4901,13.4901,13.4901,0,0
12/14/2012,12/15/2012,13.6,13.6,13.6,13.6,0,0
12/13/2012,12/14/2012,13.7001,13.7001,13.7001,13.7001,0,0
12/12/2012,12/13/2012,13.6989,13.6989,13.6989,13.6989,0,0
12/11/2012,12/12/2012,13.557,13.557,13.557,13.557,0,0
12/10/2012,12/11/2012,13.4334,13.4334,13.4334,13.4334,0,0
12/9/2012,12/10/2012,13.388,13.388,13.388,13.388,0,0
12/8/2012,12/9/2012,13.4201,13.4201,13.4201,13.4201,0,0
12/7/2012,12/8/2012,13.4999,13.4999,13.4999,13.4999,0,0
12/6/2012,12/7/2012,13.299,13.299,13.299,13.299,0,0
12/5/2012,12/6/2012,13.38,13.38,13.38,13.38,0,0
12/4/2012,12/5/2012,13.41,13.41,13.41,13.41,0,0
12/3/2012,12/4/2012,12.679,12.679,12.679,12.679,0,0
12/2/2012,12/3/2012,12.5,12.5,12.5,12.5,0,0
12/1/2012,12/2/2012,12.562,12.562,12.562,12.562,0,0
11/30/2012,12/1/2012,12.565,12.565,12.565,12.565,0,0
11/29/2012,11/30/2012,12.45,12.45,12.45,12.45,0,0
11/28/2012,11/29/2012,12.3477,12.3477,12.3477,12.3477,0,0
11/27/2012,11/28/2012,12.2,12.2,12.2,12.2,0,0
11/26/2012,11/27/2012,12.2455,12.2455,12.2455,12.2455,0,0
11/25/2012,11/26/2012,12.4821,12.4821,12.4821,12.4821,0,0
